Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
9305,2020-03-01,10564,Wang,,,JJ,China,Tibetan Plateau,Haibei,CN-TB-CK,2012,1,37.6,101.3,3198,None,,,,"Stipa aliena, Elymus nutans, Kobresia Humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,,,,,,-1.1,486,,,,IRGA,10,3,314,9to12,20,1,Exclusion,814.7,27.7,,,,423.644,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 1
9306,2020-03-01,10564,Wang,,,JJ,China,Tibetan Plateau,Haibei,CN-TB-GRAZ,2012,1,37.6,101.3,3198,None,,,,"Stipa aliena, Elymus nutans, Kobresia Humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,,,,,,-1.1,486,,,,IRGA,10,3,314,9to12,20,1,Exclusion,987.5,12.4,,,,469.0625,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 1
9307,2020-03-01,10564,Wang,,,JJ,China,Tibetan Plateau,Haibei,CN-TB-CK,2013,1,37.6,101.3,3198,None,,,,"Stipa aliena, Elymus nutans, Kobresia Humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,,,,,,-1.1,486,,,,IRGA,10,3,314,9to12,20,1,Exclusion,828.9,22.1,,,,378.8073,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 1
9308,2020-03-01,10564,Wang,,,JJ,China,Tibetan Plateau,Haibei,CN-TB-GRAZ,2013,1,37.6,101.3,3198,None,,,,"Stipa aliena, Elymus nutans, Kobresia Humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,,,,,,-1.1,486,,,,IRGA,10,3,314,9to12,20,1,Exclusion,938.9,24.3,,,,386.8268,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 1
9309,2020-03-02,10566,Dilekoglu,,,JJ,Turkey,Harran,GAP Agricultural Research Institute Directorate test fields,TR-HR-UNCUL,2015,1,36.9,36.92,379,None,,,,,Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,1.36,,26.42,21.02,52.56,5.6,,,,,Alkali absorption,,5,,,7,1,,654.87,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3
9310,2020-03-02,10566,Dilekoglu,,,JJ,Turkey,Harran,GAP Agricultural Research Institute Directorate test fields,TR-HR-CULT,2015,1,36.9,36.92,379,None,,,,,Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,1.25,,25.12,21.55,53.33,5.6,,,,,Alkali absorption,,5,,,7,1,,825.8,20.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3
9311,2020-03-02,10566,Dilekoglu,,,JJ,Turkey,Harran,GAP Agricultural Research Institute Directorate test fields,TR-HR-APPLE,2015,1,36.9,36.92,379,None,,,,Malus domestica,Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,1.2,,23.1,26,50.9,5.6,,,,,Alkali absorption,,5,,,7,1,,790.68,20.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3
9312,2020-03-02,10566,Dilekoglu,,,JJ,Turkey,Harran,GAP Agricultural Research Institute Directorate test fields,TR-HR-POME,2015,1,36.9,36.92,379,None,,,,Punica granatum,Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,1.2,,23.1,26,50.9,5.6,,,,,Alkali absorption,,5,,,7,1,,606.8,17.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3
9313,2020-03-02,10566,Dilekoglu,,,JJ,Turkey,Harran,GAP Agricultural Research Institute Directorate test fields,TR-HR-VINE,2015,1,36.9,36.92,379,None,,,,Vitis,Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,1.25,,25.12,21.55,53.33,5.6,,,,,Alkali absorption,,5,,,7,1,,881.55,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 3
9314,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMC,2014,1,34.72,92.9,4754,None,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9315,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMN,2014,1,34.72,92.9,4754,Fertilized,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9316,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMW,2014,1,34.72,92.9,4754,Warmed,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9317,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMWN,2014,1,34.72,92.9,4754,"Fertilized, warmed",,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9318,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMC,2015,1,34.72,92.9,4754,None,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9319,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMN,2015,1,34.72,92.9,4754,Fertilized,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9320,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMW,2015,1,34.72,92.9,4754,Warmed,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9321,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-AMWN,2015,1,34.72,92.9,4754,"Fertilized, warmed",,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.89,16.91,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.5,169.5,1900,,,,,,Figure 4
9322,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMC,2014,1,34.72,92.9,4754,None,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9323,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMN,2014,1,34.72,92.9,4754,Fertilized,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9324,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMW,2014,1,34.72,92.9,4754,Warmed,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9325,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMWN,2014,1,34.72,92.9,4754,"Fertilized, warmed",,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9326,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMC,2015,1,34.72,92.9,4754,None,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9327,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMN,2015,1,34.72,92.9,4754,Fertilized,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9328,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMW,2015,1,34.72,92.9,4754,Warmed,,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9329,2020-03-02,10570,Chen,,,JJ,China,Qinghai-Tibetan Plateau,Fenghuo Mountains,CN-TB-SMWN,2015,1,34.72,92.9,4754,"Fertilized, warmed",,,,"Kobresia pygmaea (C. B. Clarke), Kobresia humilis",Alpine,Grassland,Managed,Deciduous,Aggrading,,Dry,0.63,23.2,,,,-5.2,310.7,,,260.3666,Gas chromatography,30,,900,9to12,7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6953.3,553.3,6400,,,,,,Figure 4
9330,2020-03-02,10576,Yamulki,,,JJ,UK,Alice Holt Research Forest,,UK-AHR-YR1,2009,1,51.15,-0.85,80,None,,80,,Quercus robur L. and Q. petraea (Matt.) Liebl.,Mediterranean,Forest,Unmanaged,Deciduous,Mature,Gley,Dry,0.7,14,,,,9.8,808,,,,IRGA,25,3,1600,,30,1,,960.7,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 4
9331,2020-03-02,10576,Yamulki,,,JJ,UK,Alice Holt Research Forest,,UK-AHR-YR2,2010,1,51.15,-0.85,80,None,,80,,Quercus robur L. and Q. petraea (Matt.) Liebl.,Mediterranean,Forest,Unmanaged,Deciduous,Mature,Gley,Dry,0.7,14,,,,9.8,808,,,,IRGA,25,3,1600,,30,1,,642.1,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 4
9332,2020-03-02,10576,Yamulki,,,JJ,UK,Alice Holt Research Forest,,UK-AHR-YR3,2011,1,51.15,-0.85,80,None,,80,,Quercus robur L. and Q. petraea (Matt.) Liebl.,Mediterranean,Forest,Unmanaged,Deciduous,Mature,Gley,Dry,0.7,14,,,,9.8,808,,,,IRGA,25,3,1600,,30,1,,886.9,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 4
9333,2020-03-02,10576,Yamulki,,,JJ,UK,Alice Holt Research Forest,,UK-AHR-YR4,2012,1,51.15,-0.85,80,None,,80,,Quercus robur L. and Q. petraea (Matt.) Liebl.,Mediterranean,Forest,Unmanaged,Deciduous,Mature,Gley,Dry,0.7,14,,,,9.8,808,,,,IRGA,25,3,1600,,30,1,,1085.7,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 4
9334,2020-03-02,10576,Yamulki,,,JJ,UK,Alice Holt Research Forest,,UK-AHR-YR5,2013,1,51.15,-0.85,80,None,,80,,Quercus robur L. and Q. petraea (Matt.) Liebl.,Mediterranean,Forest,Unmanaged,Deciduous,Mature,Gley,Dry,0.7,14,,,,9.8,808,,,,IRGA,25,3,1600,,30,1,,986.3,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table 4
9335,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFCK,2013.5,1,26.156,117.467,300,None,,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,17.6,66.6,18.2,15.1,,1906,,18,1552,IRGA,,,314,,3.5,1,,1251.6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,890,,,Figure 2
9336,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFLA,2013.5,1,26.156,117.467,300,Litter manipulation,Litter addition,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,16.3,66.6,18.2,15.1,,1906,,18.1,1552,IRGA,,,314,,3.5,1,,1499.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,890,,,Figure 2
9337,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFLR,2013.5,1,26.156,117.467,300,Litter manipulation,Litter removal,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,16.7,66.6,18.2,15.1,,1906,,18.1,1552,IRGA,,,314,,3.5,1,,1046,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,890,,,Figure 2
9338,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFCK,2014.5,1,26.156,117.467,300,None,,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,17.6,66.6,18.2,15.1,,1906,,18,2141,IRGA,,,314,,3.5,1,,1126.3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,890,,,Figure 2
9339,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFLA,2014.5,1,26.156,117.467,300,Litter manipulation,Litter addition,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,16.3,66.6,18.2,15.1,,1906,,18.1,2141,IRGA,,,314,,3.5,1,,1461.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,890,,,Figure 2
9340,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFLR,2014.5,1,26.156,117.467,300,Litter manipulation,Litter removal,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,16.7,66.6,18.2,15.1,,1906,,18.1,2141,IRGA,,,314,,3.5,1,,964.8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,890,,,Figure 2
9341,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFCK,2015.5,1,26.156,117.467,300,None,,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,17.6,66.6,18.2,15.1,,1906,,18,2025,IRGA,,,314,,3.5,1,,1285.7,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,890,,,Figure 2
9342,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFLA,2015.5,1,26.156,117.467,300,Litter manipulation,Litter addition,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,16.3,66.6,18.2,15.1,,1906,,18.1,2025,IRGA,,,314,,3.5,1,,1591.7,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,890,,,Figure 2
9343,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-NFLR,2015.5,1,26.156,117.467,300,Litter manipulation,Litter removal,200,,Castanopsis carlesii,Subtropical,Forest,Managed,Evergreen,Mature,Oxisol,Dry,,16.7,66.6,18.2,15.1,,1906,,18.1,2025,IRGA,,,314,,3.5,1,,1102.3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,890,,,Figure 2
9344,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFCK,2013.5,1,26.156,117.467,300,None,,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,15.6,55.3,20.2,24.5,,1906,,18.6,1552,IRGA,,,314,,3.5,1,,1249,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,770,,,Figure 2
9345,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFLA,2013.5,1,26.156,117.467,300,Litter manipulation,Litter addition,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,14.5,55.3,20.2,24.5,,1906,,18.5,1552,IRGA,,,314,,3.5,1,,1249,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,770,,,Figure 2
9346,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFLR,2013.5,1,26.156,117.467,300,Litter manipulation,Litter removal,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,14.5,55.3,20.2,24.5,,1906,,18.5,1552,IRGA,,,314,,3.5,1,,844,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,770,,,Figure 2
9347,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFCK,2014.5,1,26.156,117.467,300,None,,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,15.6,55.3,20.2,24.5,,1906,,18.6,2141,IRGA,,,314,,3.5,1,,1248,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,770,,,Figure 2
9348,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFLA,2014.5,1,26.156,117.467,300,Litter manipulation,Litter addition,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,14.5,55.3,20.2,24.5,,1906,,18.5,2141,IRGA,,,314,,3.5,1,,1234,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,770,,,Figure 2
9349,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFLR,2014.5,1,26.156,117.467,300,Litter manipulation,Litter removal,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,14.5,55.3,20.2,24.5,,1906,,18.5,2141,IRGA,,,314,,3.5,1,,862,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,770,,,Figure 2
9350,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFCK,2015.5,1,26.156,117.467,300,None,,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,15.6,55.3,20.2,24.5,,1906,,18.6,2025,IRGA,,,314,,3.5,1,,1338,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,770,,,Figure 2
9351,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFLA,2015.5,1,26.156,117.467,300,Litter manipulation,Litter addition,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,14.5,55.3,20.2,24.5,,1906,,18.5,2025,IRGA,,,314,,3.5,1,,1370,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,770,,,Figure 2
9352,2020-03-03,10598,Liu,,,DP,China,Fujian,Forest Ecosystem and Global Change Research Station,CN-FJ-SFLR,2015.5,1,26.156,117.467,300,Litter manipulation,Litter removal,,,Castanopsis carlesii,Subtropical,Plantation,Managed,Evergreen,Aggrading,Oxisol,Dry,,14.5,55.3,20.2,24.5,,1906,,18.5,2025,IRGA,,,314,,3.5,1,,940,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,770,,,Figure 2
9353,2020-03-03,10599,Hergoualc'h,,,JM,Indonesia,Central Kalimantan Province,Tanjung Putting National Park,ID-KAL-FORCT,2013.5,1,-2.823,111.84,,None,,,,Shorea ovalis,Tropical,Forest,Managed,Deciduous,Mature,,Wet,0.15,31.5,,,,27,2058,,29.4,,IRGA,5,5,78.5,7to13,30,1,Exclusion,1310,50,,,,950,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hummock surrounded tree
9354,2020-03-03,10599,Hergoualc'h,,,JM,Indonesia,Central Kalimantan Province,Tanjung Putting National Park,ID-KAL-FORFT,2013.5,1,-2.823,111.84,,None,,,,Shorea ovalis,Tropical,Forest,Managed,Deciduous,Mature,,Wet,0.18,31.5,,,,27,2058,,29.4,,IRGA,5,5,78.5,7to13,30,1,Exclusion,1260,40,,,,950,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hollow in between trees
9355,2020-03-03,10599,Hergoualc'h,,,JM,Indonesia,Central Kalimantan Province,Tanjung Putting National Park,ID-KAL-OP12CT,2013.5,1,-2.794,111.82,,"Drained, fertilized","57cm canal depth; 120–150 kg N, 70–85 kg P & 100–120 kg K ha-1",25,1,Elaeis guineensis,Tropical,Agriculture,Managed,Deciduous,Mature,,Wet,0.32,39.9,,,,27,2058,,35.6,,IRGA,5,5,78.5,7to13,30,1,Exclusion,1200,40,,,,1170,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Close to a palm
9356,2020-03-03,10599,Hergoualc'h,,,JM,Indonesia,Central Kalimantan Province,Tanjung Putting National Park,ID-KAL-OP12FT,2013.5,1,-2.794,111.82,,"Drained, fertilized","57cm canal depth; 120–150 kg N, 70–85 kg P & 100–120 kg K ha-1",25,1,Elaeis guineensis,Tropical,Agriculture,Managed,Deciduous,Mature,,Wet,0.34,39.9,,,,27,2058,,35.6,,IRGA,5,5,78.5,7to13,30,1,Exclusion,1160,50,,,,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Far from a palm
9357,2020-03-03,10599,Hergoualc'h,,,JM,Indonesia,Central Kalimantan Province,Tanjung Putting National Park,ID-KAL-OP07CT,2013.5,1,-2.791,111.8,,"Drained, fertilized","100cm canal depth; 120–150 kg N, 70–85 kg P & 100–120 kg K ha-1",25,6,Elaeis guineensis,Tropical,Agriculture,Managed,Deciduous,Mature,,Wet,0.27,57.1,,,,27,2058,,29.8,,IRGA,5,5,78.5,7to13,30,1,Exclusion,2050,60,,,,840,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Close to a palm
9358,2020-03-03,10599,Hergoualc'h,,,JM,Indonesia,Central Kalimantan Province,Tanjung Putting National Park,ID-KAL-OP07FT,2013.5,1,-2.791,111.8,,"Drained, fertilized","100cm canal depth; 120–150 kg N, 70–85 kg P & 100–120 kg K ha-1",25,6,Elaeis guineensis,Tropical,Agriculture,Managed,Deciduous,Mature,,Wet,0.34,57.1,,,,27,2058,,29.8,,IRGA,5,5,78.5,7to13,30,1,Exclusion,1020,30,,,,840,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Far from a palm
9359,2020-03-03,10600,Tucker,,,DP,USA,Utah,Upper Colorado Plateau,US-UT-CB1,2016.5,1,36.675,-109.416,1310,None,,,,Achnatherum hymenoides,Boreal,Desert,Managed,Deciduous,Mature,Aridisols,Dry,,,,,,13,269,,,,IRGA,,9,314,,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5
9360,2020-03-03,10600,Tucker,,,DP,USA,Utah,Upper Colorado Plateau,US-UT-CB2,2016.5,1,36.675,-109.416,1310,None,,,,Achnatherum hymenoides,Boreal,Desert,Managed,Deciduous,Mature,Aridisols,Dry,,,,,,13,269,,,,IRGA,,9,314,,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5
9361,2020-03-03,10600,Tucker,,,DP,USA,Utah,Upper Colorado Plateau,US-UT-CB3,2016.5,1,36.675,-109.416,1310,None,,,,Achnatherum hymenoides,Boreal,Desert,Managed,Deciduous,Mature,Aridisols,Dry,,,,,,13,269,,,,IRGA,,9,314,,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figure 5
